id,matricule,nom,prenom,dateNaissance,email,promotion,
86,ENSAT086,Young,Heather,2002-09-12,heather.young@ensat.ac.ma,2020,
87,ENSAT087,Walsh,Kelly,2005-12-07,kelly.walsh@ensat.ac.ma,2023,
88,ENSAT088,Petty,John,2003-06-06,john.petty@ensat.ac.ma,2021,
89,ENSAT089,Snyder,Karen,2003-02-18,karen.snyder@ensat.ac.ma,2022,
90,ENSAT090,Davidson,Carl,2001-08-13,carl.davidson@ensat.ac.ma,2020,
91,ENSAT091,Bridges,Jenny,2000-09-05,jenny.bridges@ensat.ac.ma,2020,
92,ENSAT092,Robertson,Amy,2000-03-12,amy.robertson@ensat.ac.ma,2021,
93,ENSAT093,Fuller,Mary,2001-11-24,mary.fuller@ensat.ac.ma,2023,
94,ENSAT094,Torres,Jackson,2001-10-02,jackson.torres@ensat.ac.ma,2023,
95,ENSAT095,Powell,Jean,2001-12-23,jean.powell@ensat.ac.ma,2021,
96,ENSAT096,Hayes,Melissa,2000-07-05,melissa.hayes@ensat.ac.ma,2021,
97,ENSAT097,Wheeler,Jason,2005-07-03,jason.wheeler@ensat.ac.ma,2025,
98,ENSAT098,Barnes,Susan,2002-09-20,susan.barnes@ensat.ac.ma,2025,
99,ENSAT099,Henry,Matthew,2005-09-25,matthew.henry@ensat.ac.ma,2021,
100,ENSAT100,Mathews,Matthew,1999-06-02,matthew.mathews@ensat.ac.ma,2023,
